Node 0: Distance 0, Path 0
Node 161: Distance 15, Path 0->3307->2968->9845->1244->8263->7778->161
Node 162: Distance 17, Path 0->6389->4589->3796->8583->6341->5519->7959->162
Node 163: Distance 15, Path 0->3307->9130->2->9581->3995->9364->3147->163
Node 164: Distance 13, Path 0->8968->5311->840->2555->8265->164
Node 165: Distance 12, Path 0->8091->2225->7717->1887->2037->3342->165
Node 166: Distance 10, Path 0->3307->2968->9845->1244->166
Node 167: Distance 15, Path 0->8968->5311->7748->2035->167
Node 168: Distance 15, Path 0->8725->8088->9076->9660->2582->7524->168
Node 169: Distance 14, Path 0->8725->8088->9076->4610->169
Node 170: Distance 17, Path 0->8091->6183->1067->23->4012->170
Node 171: Distance 12, Path 0->8091->6183->8620->4819->171
Node 172: Distance 10, Path 0->6389->3780->172
Node 173: Distance 14, Path 0->8091->6183->6094->9893->173
Node 174: Distance 14, Path 0->7990->8698->69->174
Node 175: Distance 13, Path 0->8091->5598->175
Node 176: Distance 15, Path 0->8091->6183->5615->3335->176
Node 177: Distance 15, Path 0->8725->8960->7547->2731->4641->3377->6753->177
Node 178: Distance 12, Path 0->8091->5598->3043->1304->178
Node 179: Distance 15, Path 0->8091->4445->5413->5622->145->9175->9829->179
Node 180: Distance 11, Path 0->8091->6183->4927->6741->180
Node 181: Distance 15, Path 0->8091->2225->7717->7787->3382->9787->3931->181
Node 182: Distance 14, Path 0->3307->2968->5224->4421->4965->3386->182
Node 183: Distance 14, Path 0->8725->8960->4518->9354->1207->4909->183
Node 184: Distance 16, Path 0->7466->8542->6711->6314->1449->184
Node 185: Distance 13, Path 0->3307->2968->9845->1244->8263->185
Node 186: Distance 9, Path 0->186
Node 187: Distance 14, Path 0->3307->5003->1835->5133->187
Node 188: Distance 12, Path 0->8091->4445->520->3437->7561->3401->188
Node 189: Distance 15, Path 0->7990->8698->1706->4384->815->8272->189
Node 190: Distance 16, Path 0->8968->4782->190
Node 191: Distance 10, Path 0->6389->4589->3124->6657->1760->191
Node 192: Distance 15, Path 0->8725->8088->3779->1510->6522->192
Node 193: Distance 13, Path 0->6389->4589->2146->2978->3046->9535->4908->193
Node 194: Distance 15, Path 0->8725->8960->4518->4842->194
Node 195: Distance 16, Path 0->8968->5311->840->3821->9861->6167->195
Node 196: Distance 18, Path 0->8968->7231->7138->8945->4673->9485->6680->196
Node 197: Distance 16, Path 0->8968->5311->6451->6582->197
Node 198: Distance 13, Path 0->6389->9626->7084->2469->3334->415->8904->198
Node 199: Distance 16, Path 0->5264->3164->6706->8833->199
Node 200: Distance 14, Path 0->8091->4445->5413->5622->145->8389->2629->200
Node 201: Distance 12, Path 0->8091->6183->1067->9102->2267->201
Node 202: Distance 18, Path 0->7466->13->542->202
Node 203: Distance 12, Path 0->3307->9130->2->5764->2106->203
Node 204: Distance 15, Path 0->8968->7539->8011->8399->4084->204
Node 205: Distance 16, Path 0->6389->3780->1308->9339->768->7498->205
Node 206: Distance 14, Path 0->3307->9130->2->1265->3763->206
Node 207: Distance 13, Path 0->7990->4171->1816->2247->1814->207
Node 208: Distance 13, Path 0->8091->6183->7417->5905->208
Node 209: Distance 14, Path 0->6389->9626->7084->2469->4308->209
Node 210: Distance 16, Path 0->3307->9130->2->5040->920->4746->5818->4432->210
Node 211: Distance 16, Path 0->8091->8002->2306->6864->211
Node 212: Distance 14, Path 0->6389->4589->9693->1340->1903->212
Node 213: Distance 14, Path 0->8091->2225->7717->213
Node 214: Distance 13, Path 0->8091->4445->5413->5622->8845->5144->4320->214
Node 215: Distance 15, Path 0->8091->8002->5030->2326->7939->8077->215
Node 216: Distance 15, Path 0->3976->4705->1109->1703->6064->1034->216
Node 217: Distance 16, Path 0->8091->4445->5413->1642->7794->217
Node 218: Distance 14, Path 0->8091->6183->4927->2896->2431->218
Node 219: Distance 19, Path 0->8091->9757->2021->7246->790->219
Node 220: Distance 16, Path 0->7990->1069->1942->8191->220
Node 221: Distance 14, Path 0->3307->5003->1835->5133->4888->221
Node 222: Distance 14, Path 0->7466->8542->7687->981->7768->222
Node 223: Distance 15, Path 0->7990->8698->1706->1118->5453->1337->223
Node 224: Distance 13, Path 0->3307->6078->8314->8405->1684->224
Node 225: Distance 13, Path 0->8725->8088->3779->8543->225
Node 226: Distance 16, Path 0->1170->4276->5324->226
Node 227: Distance 13, Path 0->3307->6078->8314->227
Node 228: Distance 13, Path 0->7466->3299->5082->228
Node 229: Distance 11, Path 0->8091->2225->7717->229
Node 230: Distance 16, Path 0->6389->4589->3124->7161->4117->230
Node 231: Distance 14, Path 0->8091->4445->5413->5622->8586->1904->413->231
Node 232: Distance 16, Path 0->3307->5003->1835->5133->187->232
